%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,
1.58802269847097E+018,152.395975563,1128.17115902,-2.1216540374,-0.0190508828,0.0003283559,0.2942886646,6.544742144
1.58802269852136E+018,152.396001726,1128.17022686,-2.1216529716,-0.0168727588,0.0003026922,0.3517288576,6.595126784
1.58802269857418E+018,152.396529309,1128.16936182,-2.1216523151,-0.0130615984,-0.0004510043,0.4435567971,6.647945216
1.58802269862088E+018,152.396815776,1128.16809112,-2.1216562777,-0.0103050622,-0.0004611286,0.5132815994,6.694646784
1.58802269867608E+018,152.396964868,1128.1669626,-2.1216584877,-0.007124433,-0.0003496636,0.5743445773,6.749845504
1.58802269872219E+018,152.397036791,1128.16596562,-2.1216590105,-0.0037401993,-0.0002754748,0.6320398577,6.795963904
1.58802269877212E+018,152.397064304,1128.16506577,-2.121658835,0.001706824,-0.0003191248,0.722226762,6.845885952
1.58802269882159E+018,152.39706898,1128.16378999,-2.1216590452,0.0053516863,-0.0003688639,0.7895389816,6.89535744
1.58802269887273E+018,152.397061424,1128.1626744,-2.121659515,0.0090222085,-0.0004254214,0.8475099718,6.946502144
1.58802269892378E+018,152.397048018,1128.16170592,-2.1216602086,0.0126708242,-0.0004747359,0.901128138,6.997548544
1.58802269897109E+018,152.397032695,1128.16061906,-2.1216610626,0.0178199176,-0.0004733767,0.9815708386,7.044861952
1.58802269902226E+018,152.397019727,1128.15953502,-2.1216616812,0.0211537826,-0.0004865385,1.0402492439,7.096032256
1.58802269907221E+018,152.397004745,1128.15835933,-2.1216622611,0.0229427614,-0.0005155726,1.0889448557,7.14598272
1.5880226991222E+018,152.396988086,1128.15743163,-2.1216628597,0.024174469,-0.0005499953,1.13226905,7.195971584
1.58802269917626E+018,152.396972406,1128.15644795,-2.1216635249,0.0241078837,-0.0005220538,1.1930759894,7.250029824
1.58802269922309E+018,152.396962221,1128.15556965,-2.1216637955,0.0232306682,-0.0004721841,1.2353222958,7.296863232
1.58802269927096E+018,152.396953684,1128.15463277,-2.1216637112,0.0208712488,-0.0004120024,1.2682828,7.344724992
1.58802269932387E+018,152.396945696,1128.15396314,-2.1216632897,0.0177500642,-0.0003431848,1.2955208214,7.3976384
1.58802269937516E+018,152.396939802,1128.15324455,-2.1216626578,0.0109437995,-0.0001586986,1.3283226546,7.448928256
1.58802269942355E+018,152.396939189,1128.15271075,-2.1216611823,0.0054778367,-8.83555762684E-07,1.3482284726,7.497320704
1.58802269947188E+018,152.396412214,1128.15235414,-2.1216594095,0.0004795414,0.0007689324,1.3606862427,7.545649664
1.58802269952077E+018,152.396116445,1128.15213833,-2.1216538747,-0.0037535784,0.0008139462,1.3679286649,7.594541568
