%time,field.throttle_bow,field.position_bow,field.lin_act_bow,
1.58802277420572E+018,-75.6048061358,90,2,82.152160256
1.58802277445003E+018,-94.3992157002,90,2,82.39647488
1.58802277471351E+018,-65.3712517631,90,2,82.659948032
1.58802277495616E+018,-94.3992157002,90,2,82.902595584
1.58802277521227E+018,-56.257986443,90,2,83.15870976
1.58802277543824E+018,-94.3992157002,90,2,83.38468352
1.5880227757158E+018,-49.2983825795,90,2,83.662235136
1.58802277594456E+018,-94.3992157002,90,2,83.890996224
1.58802277621546E+018,-49.2983825795,90,2,84.161901056
1.58802277644738E+018,-94.3992157002,90,2,84.39382016
1.58802277671272E+018,-49.2983825795,90,2,84.65915648
1.58802277693688E+018,-91.9090118321,90,2,84.883321344
1.58802277721819E+018,-44.3439404664,90,2,85.1646336
1.58802277744299E+018,-80.388101491,90,2,85.389430272
1.58802277773155E+018,2.7525574638,90,2,85.677989376
1.58802277802895E+018,42.6535551043,90,2,85.975389184
1.58802277824562E+018,-44.7912905362,90,2,86.192058368
1.58802277852594E+018,42.6535551043,90,2,86.472379136
1.58802277874259E+018,-36.1632344527,90,2,86.689028608
1.58802277903021E+018,45.8619575954,90,2,86.97665024
1.58802277932361E+018,49.6266779417,90,2,87.270050048
1.5880227795467E+018,24.5494552087,90,2,87.493140736
1.58802277981219E+018,50.4496360109,90,2,87.758633216
1.58802278004504E+018,35.7316803655,90,2,87.991478272
1.5880227803215E+018,50.3952309685,90,2,88.26793728
1.58802278054141E+018,42.7856499183,90,2,88.487846912
1.58802278081551E+018,49.3550360145,90,2,88.761954048
1.58802278104385E+018,48.0716492398,90,2,88.99028992
1.58802278130759E+018,49.9539295785,90,2,89.254029056
1.58802278154038E+018,52.5448633923,90,2,89.486823936
1.5880227818241E+018,51.554425422,90,2,89.770536192
1.5880227820371E+018,56.2672430676,90,2,89.983539712
1.5880227823225E+018,53.4335270579,90,2,90.268939008
1.58802278261536E+018,56.6488880772,90,2,90.561798144
