%time,field.star_effort,field.port_effort,
1.58764322372729E+018,-5.4505098254,5.3758546558,46.733977856
1.58764322374182E+018,-8.1939905839,8.8225518078,46.748510208
1.58764322405476E+018,-7.8097453658,8.364057248,47.061449472
1.58764322407029E+018,-3.3481976875,3.3776563803,47.076977152
1.58764322434692E+018,-7.6778373355,7.9458474891,47.353606144
1.58764322436284E+018,0,0,47.36953088
1.58764322464411E+018,-7.7149127824,7.8683493402,47.650801664
1.58764322470468E+018,2.5216217147,-2.5529931791,47.711371008
1.5876432249397E+018,3.8000643961,-3.6488485227,47.946392576
1.5876432252517E+018,-7.2831911179,7.1240803586,48.258385152
1.58764322530143E+018,3.3541037799,-3.1213838655,48.308117504
1.58764322557708E+018,3.1013257239,-2.7022175384,48.583766016
1.58764322590672E+018,-4.9834886032,5.0916051533,48.913404928
1.5876432259396E+018,3.5734290208,-3.0832922471,48.94628608
1.5876432263306E+018,6.7233920528,8.174387366,49.337291776
1.58764322633953E+018,3.9456230379,-3.3817719657,49.34622208
1.58764322674623E+018,4.2330827148,0,49.752920064
1.58764322676472E+018,-4.3922191536,5.4951679655,49.771412992
1.58764322707745E+018,-6.3115982769,7.0430488333,50.084144128
1.58764322714971E+018,4.8622160207,6.1939963286,50.156395008
1.58764322745948E+018,9.9207116975,8.4956877871,50.466174464
1.58764322750054E+018,7.6573041853,6.0036264173,50.507233792
1.58764322778414E+018,9.4346409026,5.1113017402,50.790825472
1.58764322803127E+018,12.891911162,6.688109451,51.037956608
1.58764322803546E+018,9.7248532636,5.1268490115,51.0421504
1.58764322842796E+018,9.2276420478,5.5831101857,51.434652672
1.58764322844628E+018,12.1269584727,8.1292287141,51.452973568
1.58764322876734E+018,10.430005,8.8187049467,51.77403136
1.5876432288049E+018,8.3945106152,4.6613331333,51.811590912
1.58764322907766E+018,7.1589612658,3.9382660877,52.084348672
1.58764322945544E+018,6.4771954912,-3.7632968332,52.462134528
1.58764322948291E+018,3.3684552885,9.3909119833,52.489604608
1.58764322975342E+018,-6.3345837748,9.6491377789,52.760113408
1.58764322978808E+018,0,-5.9913675172,52.794771456
1.5876432300761E+018,-5.9987689571,9.543893614,53.082786304
1.58764323011672E+018,-4.873687008,-6.7072171681,53.123410176
1.58764323035271E+018,-5.7802358412,-6.8813846164,53.359404032
1.58764323068742E+018,6.8844838634,7.7195371818,53.694110208
1.58764323073515E+018,-5.5464637284,-6.6218382612,53.74184448
1.58764323110359E+018,0,-6.5983588568,54.110277632
1.58764323113354E+018,9.5300531696,6.7195247204,54.14023424
1.5876432315309E+018,6.1654658351,-5.0856318023,54.537592832
1.58764323154381E+018,10.237768317,7.7388143286,54.550496256
1.5876432318866E+018,9.1198631593,7.9841820765,54.893288192
1.58764323192134E+018,5.9662198209,-5.7445535594,54.928028928
1.58764323218486E+018,-4.5238179508,-7.302725682,55.191545344
1.58764323253024E+018,-6.0997215859,-6.4528606276,55.536927488
1.5876432325666E+018,4.0123578521,9.668628432,55.573286656
1.5876432329603E+018,-8.1717418143,-4.8540297755,55.96699392
1.58764323298722E+018,-4.1870375736,11.3054843626,55.9939072
1.58764323328056E+018,-6.4372647142,11.1252654092,56.287254528
1.58764323336281E+018,-9.3117663956,3.4175703672,56.369495808
1.58764323365253E+018,7.4146998051,6.7179034473,56.65921536
1.58764323371123E+018,-8.6275684224,-4.8622460305,56.71792384
1.58764323398178E+018,-6.9479195863,-6.2884568283,56.988465152
1.58764323428587E+018,10.775213069,-5.1129921279,57.292557056
1.58764323431127E+018,-5.7290122356,-7.3928708864,57.317963008
1.58764323458417E+018,-4.2538786511,-5.9426926003,57.590863872
1.58764323492842E+018,-2.148934088,-4.2174846517,57.935110912
1.58764323494911E+018,10.0409978645,-3.2837814786,57.955795456
1.58764323530776E+018,2.8273333688,3.7455248688,58.31444736
1.58764323532371E+018,8.5702397191,7.8023936197,58.330402048
1.58764323559747E+018,3.0447282951,6.0535495147,58.604156672
1.58764323602802E+018,9.0774604981,9.7576418964,59.03471104
1.58764323604826E+018,3.6095356286,6.8231653359,59.05494784
1.58764323642508E+018,8.7310866918,9.0026021492,59.43176704
1.58764323643652E+018,-4.7433464762,7.8308712772,59.443206656
1.5876432367915E+018,8.7368552505,7.8314472063,59.798189056
1.58764323682361E+018,-5.745577229,7.4376903003,59.830303744
1.58764323707159E+018,-5.1805107487,6.5875533593,60.07827968
1.58764323742754E+018,9.5835861599,3.1780759284,60.434228224
1.58764323743178E+018,-3.8785066752,5.3634811691,60.438468352
1.58764323777042E+018,8.8867297995,-7.0777088113,60.777105408
1.58764323781506E+018,0,2.7695388001,60.82174976
1.58764323816183E+018,-37.5348729196,-42.9439344582,61.168517376
1.58764323816355E+018,-40.5796279876,-42.9439344574,61.17024256
1.58764323841678E+018,-56.4894236979,-60.7950109674,61.42346752
1.58764323874011E+018,-61.9202173419,-63.2819260466,61.746803712
1.58764323874454E+018,-71.0134271921,-74.4841272378,61.751224832
1.58764323902623E+018,-83.0346836775,-86.0217243622,62.032916736
1.58764323939815E+018,-71.0134271922,-74.4841272379,62.404841984
1.5876432394943E+018,-93.5233155169,-96.1851803247,62.500991232
1.58764323979746E+018,-83.0346836775,-86.0217243621,62.804147456
1.58764323980489E+018,-96.2250448649,-96.2250448649,62.811581952
1.58764324004676E+018,-86.0662965824,-86.0662965824,63.053452032
1.5876432404735E+018,-74.5355992498,-74.5355992498,63.480187648
1.58764324049542E+018,-96.2250448649,-96.2250448649,63.502109696
1.58764324073346E+018,-96.2250448649,-96.2250448649,63.740148224
1.58764324117858E+018,-96.2250448649,-96.2250448649,64.185266432
1.5876432412044E+018,-96.2250448649,-96.2250448649,64.211086336
1.58764324145613E+018,-86.0662965822,-86.0662965822,64.462818048
1.58764324178237E+018,-74.5355992497,-75.1086977841,64.789056256
1.58764324181782E+018,-96.2250448648,-96.2250448647,64.824510976
1.58764324208964E+018,-86.0662965814,-86.0662965813,65.096325888
1.58764324244755E+018,-74.5355978631,-76.6859559152,65.454244352
1.58764324248279E+018,-96.2250448645,-96.2250448641,65.489479936
1.58764324289091E+018,-96.2250448645,-96.2250448641,65.89760256
1.58764324289779E+018,-96.2250448649,-96.2250448649,65.904478976
1.587643243154E+018,-86.0662965785,-86.0662965787,66.160688128
1.58764324353088E+018,-74.5355992453,-78.263447489,66.537572352
1.587643243551E+018,-96.2250448632,-96.225044863,66.557686272
1.58764324400218E+018,-86.0662965693,-86.0662965654,67.008865536
1.58764324400507E+018,-96.2250448649,-96.2250448649,67.011759872
1.5876432442367E+018,-86.0662965823,-86.0662965824,67.243390208
1.58764324472068E+018,-74.5355992273,-78.583675192,67.727374592
1.58764324473479E+018,-96.2250448649,-96.2015047916,67.741484544
1.58764324517914E+018,-86.0662965812,-87.2232170042,68.185831936
1.58764324519811E+018,-96.2250448649,-96.2250448646,68.20479488
1.5876432454387E+018,-86.0662965824,-87.9448627843,68.445392384
1.58764324572571E+018,-95.0106679486,-96.2250448648,68.732403712
1.58764324597027E+018,-84.7064057329,-90.2709069989,68.976963584
1.58764324630571E+018,-72.9611082722,-80.7637885221,69.312396032
1.5876432463394E+018,-95.0014964558,-96.2250448649,69.346087936
1.5876432466606E+018,-94.3655518334,-96.2250448649,69.667292672
1.5876432467257E+018,-84.6961183242,-95.5475804065,69.73238784
